symbol,entry_date,entry_rank,exit_date,exit_rank,holding_days,quantity,entry_price,exit_price,cost_value,proceeds,gross_realized_pnl,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,total_transaction_cost,net_realized_pnl,return_pct,sell_reason
ADANIENSOL,2021-09-22 00:00:00,1,2021-11-29 00:00:00,,68,125.65869268542383,1560.800048828125,1924.5999755859375,196361.02222904254,241842.7168745275,45481.69464548497,0.0,241.84271687452753,7.182728691173467,0.2418427168745275,1.336422853448639,0.0,250.60371113602417,45231.09093434894,0.2316228247805386,SellReason.MARKET_EXIT
ASAHIINDIA,2021-11-23 00:00:00,2,2021-11-29 00:00:00,,6,352.0562479117316,504.17135349242085,470.3754405615648,177707.4762438358,165598.61271393223,-12108.863529903552,0.0,165.59861271393223,4.918278797603787,0.16559861271393223,0.9150979338571895,0.0,171.59758805810714,-12280.461117961659,-0.06813930277918501,SellReason.MARKET_EXIT
BSOFT,2021-11-23 00:00:00,3,2021-11-29 00:00:00,,6,413.83293072862745,428.90901577746877,441.4346688812784,177707.47624383582,182680.2027483607,4972.726504524879,0.0,182.6802027483607,5.425602021626313,0.1826802027483607,1.0094908003874412,0.0,189.29797577312283,4783.428528751756,0.02798265221943564,SellReason.MARKET_EXIT
APOLLOHOSP,2021-11-23 00:00:00,4,2021-11-29 00:00:00,,6,33.43711841766714,5308.372354279704,5699.005396456242,177707.47624383582,190558.31830423145,12850.842060395633,0.0,190.55831830423145,5.659582053635674,0.19055831830423145,1.0530252669491829,0.0,197.46148394312053,12653.380576452513,0.0723145831116455,SellReason.MARKET_EXIT
SHRIRAMFIN,2022-07-25 00:00:00,4,2022-08-01 00:00:00,34,7,709.4395650949209,274.00994665860424,256.7099331791898,194624.36587219377,182120.18335019064,-12504.182522003131,0.0,182.12018335019064,5.408969445500662,0.18212018335019062,1.0063961331931535,0.0,188.71766911223466,-12692.900191115366,-0.06424777527709145,SellReason.RANK_EXIT
COALINDIA,2022-08-23 00:00:00,4,2022-09-07 00:00:00,10,15,1118.2033307974366,162.50680787784862,174.45140273376936,181931.4656810784,195072.13959918593,13140.673918107525,0.0,195.07213959918593,5.793642546095822,0.19507213959918593,1.0779686434251015,0.0,202.138822928306,12938.535095179219,0.07222870364350727,SellReason.RANK_EXIT
ADANIENSOL,2022-07-25 00:00:00,1,2022-10-14 00:00:00,10,81,65.01889565001402,2989.800048828125,3204.0,194624.36587219377,208320.54166264492,13696.175790451147,0.0,208.32054166264493,6.187120087380554,0.2083205416626449,1.1511793132277757,0.0,215.8671616049159,13480.308628846231,0.07037235923196365,SellReason.RANK_EXIT
AMBUJACEM,2022-09-22 00:00:00,3,2022-10-19 00:00:00,10,27,377.6138959088954,515.4440634294775,502.177132456803,194870.00077625763,189629.0634233708,-5240.937352886831,0.0,189.6290634233708,5.631983183674112,0.1896290634233708,1.0478902044775469,0.0,196.49856587494585,-5437.4359187617765,-0.026894531390207553,SellReason.RANK_EXIT
ABB,2022-07-25 00:00:00,3,2022-10-31 00:00:00,11,98,73.09201040594317,2659.5724527144266,2903.668988941204,194624.36587219377,212235.00395510497,17610.638082911202,0.0,212.235003955105,6.303379617466618,0.21223500395510497,1.1728106318559102,0.0,219.92342920838263,17390.71465370282,0.09048526891271047,SellReason.RANK_EXIT
BANKBARODA,2022-10-24 00:00:00,3,2022-11-07 00:00:00,10,14,1551.0213640433592,128.00135431859223,140.65110951194424,198768.61967926793,218152.87572942764,19384.256050159718,0.0,218.15287572942765,6.4791404091640015,0.21815287572942763,1.2055127912808172,0.0,226.0556818056019,19158.200368354115,0.09752171183478589,SellReason.RANK_EXIT
