Trading Date,2026-07-31

Rank,Symbol,Score,Avg Daily Traded Value,return_9m,return_6m,return_3m,volatility_3m
143,DIXON,0.3809,8595922896.0,-9.39,37.95,25.81,42.14
144,HONAUT,0.3799,183283785.0,5.04,21.61,22.96,40.21
145,AARTIIND,0.3797,533067670.0,29.43,37.54,-4.68,41.59
146,CARTRADE,0.3794,1690754522.0,-13.26,12.99,64.65,58.3
147,GMRAIRPORT,0.379,1793897885.0,13.56,12.09,6.43,27.17
148,PAGEIND,0.3787,1264691052.0,-1.57,23.72,10.19,27.38
149,HEG,0.3781,1807367374.0,13.2,15.23,8.46,30.69
150,ALKEM,0.3757,798985747.0,5.89,1.32,7.29,18.64
151,CASTROLIND,0.3753,180047449.0,-3.8,2.83,-0.31,7.46
152,COFORGE,0.3753,5013156499.0,-4.47,1.82,49.44,47.0
153,AUBANK,0.374,1755946951.0,19.02,8.83,3.18,28.25
154,3MINDIA,0.3734,145140169.0,16.2,2.11,4.34,24.01
155,CANHLIFE,0.3733,629579890.0,20.5,-0.28,3.64,24.84
156,ANANTRAJ,0.3725,1907583356.0,-0.05,27.54,22.37,43.0
157,ENDURANCE,0.372,331260619.0,-5.6,18.17,18.35,31.37
158,PHOENIXLTD,0.3708,1869766585.0,11.95,9.66,7.27,29.04
159,ABSLAMC,0.3707,361536444.0,23.62,29.86,-0.33,41.19
160,JSWSTEEL,0.3704,1909358843.0,7.25,4.21,0.27,17.6
161,PPLPHARMA,0.3697,1312072450.0,-4.17,27.28,22.32,41.44
162,MCX,0.3694,5771171042.0,47.66,3.83,-7.58,36.38
163,ZENTEC,0.3692,1021792361.0,21.14,19.18,6.31,39.82
164,CREDITACC,0.3691,769354897.0,8.19,20.61,22.51,45.86
165,JSWINFRA,0.3689,1172026734.0,5.86,20.38,15.21,38.42
166,KPIL,0.3686,157885572.0,3.93,18.81,3.97,27.35
167,MANKIND,0.3685,1080386610.0,2.62,16.66,6.47,27.44
168,USHAMART,0.3685,241069643.0,7.04,19.45,6.92,32.07
169,GODREJPROP,0.3683,1654240894.0,-8.31,35.83,10.84,34.85
170,GLENMARK,0.3673,1118662638.0,23.07,12.06,-6.68,27.37
171,CIPLA,0.3667,1799587009.0,-5.17,11.94,11.39,24.79
172,BAJAJFINSV,0.3653,2459806299.0,-6.42,5.9,16.23,25.26
173,JSWENERGY,0.3646,1286285760.0,5.14,26.47,-0.82,30.11
174,LICI,0.3644,844101268.0,-3.4,5.74,8.39,21.02
175,CHOLAFIN,0.3643,2506944858.0,8.24,12.27,11.61,34.46
176,PAYTM,0.3642,4288746979.0,2.54,14.1,20.36,39.12
177,PGEL,0.3632,1181143130.0,8.5,13.57,14.75,38.38
178,UNIONBANK,0.3631,2884469163.0,20.64,-1.76,7.66,31.74
179,PVRINOX,0.3628,475289902.0,-4.12,18.45,5.77,26.14
180,TECHM,0.3626,3911603910.0,17.18,-3.79,15.26,34.86
181,JSWCEMENT,0.3619,249371994.0,-2.56,17.75,8.68,29.45
182,ATUL,0.3619,443324422.0,14.35,8.87,-2.52,25.9
183,TEJASNET,0.3619,1075044858.0,-5.39,57.46,20.54,59.17
184,LTF,0.361,1985537724.0,17.26,8.75,8.26,36.78
185,FINCABLES,0.3607,213816978.0,25.74,36.83,-0.3,50.61
186,JUBLINGREA,0.3602,472583752.0,9.04,18.8,3.08,33.36
187,ETERNAL,0.3598,10360516986.0,-8.47,9.84,21.72,32.98
188,CONCORDBIO,0.3592,159237244.0,-2.53,16.27,24.41,42.61
189,SCHAEFFLER,0.3588,241425174.0,4.7,13.08,-1.11,24.74
190,NMDC,0.357,1200610975.0,17.41,7.49,-4.55,27.5
191,RECLTD,0.3569,1594435937.0,3.31,0.97,5.5,23.42
192,HAL,0.3553,2791921301.0,-1.51,7.74,7.09,26.13
193,FIVESTAR,0.3551,335962700.0,3.66,6.88,13.78,34.39
194,YESBANK,0.355,1447709774.0,0.35,6.85,11.18,30.23
195,LINDEINDIA,0.3545,138497544.0,10.43,15.43,-7.86,25.88
196,TRITURBINE,0.3538,343931841.0,16.01,28.8,4.96,47.45
197,PFC,0.3534,2158199149.0,6.74,11.67,-7.12,22.61
198,FORTIS,0.353,905094214.0,-10.22,12.71,2.39,20.63
199,HYUNDAI,0.3529,1710615972.0,-5.13,0.91,18.23,30.25
200,CAMS,0.3527,750081182.0,1.26,14.68,7.79,33.33
201,ONESOURCE,0.3527,562670821.0,-10.44,40.68,-6.81,28.52
202,DELHIVERY,0.3522,2379859319.0,1.29,18.2,3.12,31.69
203,SCI,0.3521,554955053.0,14.13,34.07,-8.51,38.91
204,MAXHEALTH,0.3521,1718835583.0,-7.24,12.81,10.82,29.79
205,ABBOTINDIA,0.3515,340062438.0,-6.62,0.69,9.38,22.59
206,BHARTIARTL,0.3515,10464399602.0,-5.65,0.73,7.93,22.02
207,TBOTEK,0.3514,489504059.0,-4.18,6.11,21.97,37.37
208,BAJAJHLDNG,0.3511,573310770.0,-11.34,8.25,11.85,26.01
209,PETRONET,0.3496,519809773.0,4.0,2.26,2.61,25.31
210,ZFCVINDIA,0.3495,384074583.0,12.31,1.92,-1.61,26.87
211,SBIN,0.3493,9562463696.0,11.3,-1.9,-1.32,24.48
212,INDIGO,0.3492,5044926361.0,-10.98,8.89,22.0,35.67
213,ANURAS,0.349,452955000.0,11.33,-2.56,-6.71,19.87
214,ANGELONE,0.3488,2230280899.0,20.54,15.95,-5.23,37.01
215,HEROMOTOCO,0.348,3266144969.0,-1.09,-1.6,5.42,23.01
216,TRAVELFOOD,0.3475,20560535.0,-1.54,24.83,3.42,35.84
217,POONAWALLA,0.3475,742443245.0,-5.48,14.63,11.11,34.07
218,TATACOMM,0.3475,561073287.0,-7.19,15.95,13.69,35.85
219,360ONE,0.3471,1604135175.0,-3.21,2.53,9.73,27.88
220,INDGN,0.3464,119834721.0,-5.19,10.82,3.08,26.09
221,LT,0.3462,7483583897.0,0.49,1.13,-1.9,20.32
222,M&M,0.3458,7626438907.0,-4.9,1.21,10.89,27.59
223,NETWEB,0.3454,3968269746.0,7.54,44.24,15.18,62.6
224,HINDCOPPER,0.3441,1429581221.0,43.85,-22.26,-8.52,29.77
225,JBMA,0.344,239584018.0,-2.85,17.23,6.35,34.76
226,POWERGRID,0.3439,2091624105.0,-1.04,10.34,-11.02,17.97
227,SPLPETRO,0.3435,170583417.0,-9.94,35.34,-3.87,32.22
228,SBILIFE,0.3426,1520218281.0,-2.69,-8.21,3.4,19.05
229,SUMICHEM,0.3425,1191787579.0,-0.35,27.07,13.65,48.28
230,IEX,0.342,723040063.0,-8.55,6.56,5.26,25.33
231,PRESTIGE,0.3409,1396255659.0,-9.45,16.11,14.27,37.81
232,IGIL,0.3389,206015379.0,5.42,11.36,1.48,34.87
233,SHREECEM,0.3379,437175066.0,-8.97,-3.5,7.69,23.27
234,ULTRACEMCO,0.3377,3189937415.0,-0.8,-6.4,-0.5,20.16
235,UNOMINDA,0.3374,851106380.0,-1.41,3.34,6.28,30.76
236,COALINDIA,0.3367,2430405043.0,12.83,-7.93,-12.37,18.5
237,PFIZER,0.3366,111690748.0,-9.68,5.07,2.41,23.8
238,LTFOODS,0.3364,323586370.0,-2.71,15.5,-4.71,28.11
239,ENRIN,0.336,1472979110.0,4.34,37.3,-2.71,46.24
240,GESHIP,0.3355,509754562.0,30.27,16.71,-11.53,44.01
241,PNB,0.3339,2086434563.0,-4.22,-7.4,7.51,25.62
242,NAUKRI,0.3339,3520116615.0,-11.16,-5.46,25.56,37.09
243,KOTAKBANK,0.3336,6178673087.0,-9.69,-5.36,5.02,21.46
244,GRAPHITE,0.3321,782020031.0,16.68,4.53,-7.17,33.9
245,HINDALCO,0.3321,4184767559.0,13.8,-4.84,-7.61,26.65
246,NATIONALUM,0.332,2151690472.0,51.86,-16.94,-14.94,37.6
247,TIMKEN,0.3318,170097819.0,5.23,5.61,-8.27,26.66
248,CUB,0.3318,561130677.0,15.07,-6.13,1.28,34.08
249,HOMEFIRST,0.3317,269468347.0,-1.9,13.92,3.41,36.36
250,TATASTEEL,0.331,3595807232.0,4.54,-4.31,-8.38,21.03
251,PTCIL,0.3305,220586356.0,4.4,2.17,10.39,40.03
252,BALKRISIND,0.3296,1194694819.0,5.69,2.11,12.44,42.82
253,BERGEPAINT,0.329,126144958.0,-3.83,5.08,10.01,36.85
254,ARE&M,0.3288,764617820.0,-9.64,9.67,2.6,29.86
255,ASHOKLEY,0.3287,2250835754.0,22.0,-12.91,5.47,39.38
256,SUNDARMFIN,0.3285,263784470.0,1.23,-6.47,3.43,28.51
257,ENGINERSIN,0.3283,327034352.0,11.86,31.8,-14.57,41.51
258,BHARTIHEXA,0.3283,329564887.0,-14.04,1.61,5.94,25.65
259,ATGL,0.3281,1047589518.0,2.75,23.63,0.69,43.92
260,INDUSTOWER,0.3276,2375963432.0,2.64,-11.43,-2.88,21.89
261,AXISBANK,0.3272,9406007267.0,-1.35,-6.84,-3.58,21.56
262,CROMPTON,0.3264,592779794.0,-10.91,17.13,-4.46,28.42
263,LGEINDIA,0.3258,488347328.0,-9.89,5.71,-5.62,22.09
264,HAVELLS,0.3256,1637536104.0,-15.8,-0.54,2.21,21.48
265,APLAPOLLO,0.3255,877749188.0,2.97,-11.7,-4.49,21.53
266,GODREJCP,0.3255,622945781.0,-2.72,-7.8,0.3,24.07
267,NTPC,0.3254,3066751929.0,1.54,-2.31,-12.89,19.03
268,PARADEEP,0.3253,1181555988.0,-12.92,10.53,16.62,41.19
269,HDBFS,0.3251,370888734.0,-6.05,-3.13,3.46,27.34
270,NLCINDIA,0.325,614569463.0,19.85,12.67,-5.86,44.45
271,CONCOR,0.3249,1285625918.0,-4.0,5.68,1.44,31.86
272,MRPL,0.3248,3595068123.0,13.49,5.83,6.57,46.98
273,COLPAL,0.3247,540051779.0,-4.9,-2.5,-3.33,23.03
274,SAIL,0.3234,1869352785.0,20.26,7.54,-9.76,39.41
275,AADHARHFC,0.3233,203378506.0,-2.99,4.45,-0.57,30.84
276,MARUTI,0.323,5062991265.0,-13.14,-6.63,6.91,24.72
277,TATAPOWER,0.322,1239009525.0,-6.73,4.53,-13.46,18.64
278,DEEPAKNTR,0.3219,245741604.0,-4.9,6.87,-5.14,27.9
279,OLECTRA,0.3217,572551070.0,-11.44,21.66,5.95,41.08
280,BPCL,0.3206,2035162898.0,-2.15,-8.01,6.42,31.37
281,SAMMAANCAP,0.3203,1131640230.0,-13.26,14.52,10.58,40.39
282,JINDALSTEL,0.3202,1078818120.0,2.69,-1.52,-12.61,22.61
283,FSL,0.3202,846372034.0,-12.46,-1.05,41.22,57.33
284,PCBL,0.3201,665501304.0,-12.94,17.76,2.71,36.07
285,EIHOTEL,0.32,76959667.0,-14.97,5.86,2.52,28.16
286,BIKAJI,0.3199,66066243.0,-12.42,-1.42,-5.17,19.5
287,DLF,0.3197,3059744942.0,-14.82,5.4,8.58,33.07
288,DMART,0.3193,2146089391.0,-7.29,6.92,-10.04,23.58
289,KPRMILL,0.3191,317313673.0,-1.57,13.59,9.84,47.03
290,MRF,0.3187,793173096.0,-17.11,-2.24,2.36,22.83
291,CHALET,0.3179,80984832.0,-14.08,-0.87,7.09,29.62
292,INDIACEM,0.3176,146693853.0,2.92,-12.33,0.53,28.63
293,JUBLPHARMA,0.3163,125621282.0,-16.82,-0.4,0.4,23.43
294,TIINDIA,0.3162,673442399.0,-11.84,20.81,-5.26,33.61
295,GILLETTE,0.3161,154036527.0,-14.98,-1.34,-4.14,20.44
296,CRISIL,0.3157,349888632.0,-11.02,-2.01,1.66,27.41
297,CDSL,0.3152,2341722297.0,-17.53,0.76,6.24,28.85
298,BRITANNIA,0.3151,1116642650.0,-8.38,-7.98,-5.41,20.26
