rebalance_date,decision_date,action,symbol,reason,rank_before,rank_after,score,weight_before,weight_after,quantity,entry_price,exit_price,trade_value,transaction_cost,portfolio_value,cash_after,notes
2024-08-22 00:00:00,2024-08-22 00:00:00,BUY,GODFRYPHLP,NEW_POSITION,,1,0.811293260787373,,0.08599754926619615,81.71427950417844,1831.5478115391081,,149841.35550915322,177.74571178021142,1751076.7668157835,0.0,
2024-08-22 00:00:00,2024-08-22 00:00:00,BUY,DEEPAKFERT,NEW_POSITION,,3,0.7385771830917532,,0.08599754926619615,143.36696079248546,1043.9198053029913,,149841.35550915322,177.74571178021142,1751076.7668157835,0.0,
2024-08-22 00:00:00,2024-08-22 00:00:00,BUY,SUZLON,NEW_POSITION,,4,0.7239457662295903,,0.08599754926619615,1888.9764414515275,79.2300033569336,,149841.35550915322,177.74571178021142,1751076.7668157835,0.0,
2024-08-22 00:00:00,2024-08-22 00:00:00,BUY,POLICYBZR,NEW_POSITION,,8,0.6742504776797655,,0.08599754926619615,88.82113341090385,1685.0,,149841.35550915322,177.74571178021142,1751076.7668157835,0.0,
2024-08-27 00:00:00,2024-08-27 00:00:00,SELL,BEL,SellReason.RANK_EXIT,,,,,,633.8148578062699,272.9323378175305,302.9159455268709,191992.62694136548,198.94775184494335,1766003.5475217984,191793.67918952054,
2024-09-05 00:00:00,2024-09-05 00:00:00,SELL,HERITGFOOD,SellReason.RANK_EXIT,,,,,,311.26051775594345,564.75,572.0,178041.01615639965,184.49073000768138,1794567.1453921655,369650.2046159125,
2024-09-06 00:00:00,2024-09-06 00:00:00,SELL,POLICYBZR,SellReason.RANK_EXIT,,,,,,88.82113341090385,1685.0,1721.75,152927.7864502237,158.46774844216952,1797235.2654426517,522419.5233176941,
2024-09-18 00:00:00,2024-09-18 00:00:00,SELL,MAZDOCK,SellReason.RANK_EXIT,,,,,,62.942784370740206,2622.6176288705547,2063.7983684462756,129901.21568979937,134.60701712937808,1822035.420518635,652186.131990364,
2024-09-20 00:00:00,2024-09-20 00:00:00,SELL,INDUSTOWER,SellReason.RANK_EXIT,,,,,,389.3274903323144,424.0,393.0,153005.70370059958,158.5484883228575,1807936.1064032665,805033.2872026408,
2024-09-24 00:00:00,2024-09-24 00:00:00,BUY,KALYANKJIL,NEW_POSITION,,2,0.6988980164040736,,0.08844902670617442,208.9200093743628,769.74755859375,,161006.65744052816,190.99028322903905,1809636.42332114,0.0,
2024-09-24 00:00:00,2024-09-24 00:00:00,BUY,EDELWEISS,NEW_POSITION,,4,0.6302805699787534,,0.08844902670617442,1134.9024038161356,141.6999969482422,,161006.65744052816,190.99028322900995,1809636.42332114,0.0,
2024-09-24 00:00:00,2024-09-24 00:00:00,BUY,CHOLAHLDNG,NEW_POSITION,,6,0.5892793339067405,,0.08844902670617442,79.61337229164951,2019.9579860551485,,161006.65744052816,190.99028322903905,1809636.42332114,0.0,
2024-09-24 00:00:00,2024-09-24 00:00:00,BUY,ABREL,NEW_POSITION,,7,0.5872931442033005,,0.08844902670617442,56.477163275246205,2847.4459025774795,,161006.65744052816,190.99028322903905,1809636.42332114,0.0,
2024-09-24 00:00:00,2024-09-24 00:00:00,BUY,HERITGFOOD,NEW_POSITION,,8,0.5862034390310324,,0.08844902670617442,260.3037719890505,617.7999877929688,,161006.65744052816,190.99028322903905,1809636.42332114,0.0,
2024-10-10 00:00:00,2024-10-10 00:00:00,SELL,EDELWEISS,SellReason.RANK_EXIT,,,,,,1134.9024038161356,141.6999969482422,118.5,134485.93485221206,139.3578223281683,1795234.583993731,134346.5770298839,
2024-10-21 00:00:00,2024-10-21 00:00:00,SELL,TRENT,SellReason.MARKET_EXIT,,,,,,41.2237169779309,3999.9436768841015,7803.955616478243,321708.0576420334,333.3622537381737,1796588.3897250379,1796588.3897250379,
2024-10-21 00:00:00,2024-10-21 00:00:00,SELL,BASF,SellReason.MARKET_EXIT,,,,,,29.19095595064568,5655.0,8020.0,234111.46672417835,242.59238871772843,1796588.3897250379,1796588.3897250379,
2024-10-21 00:00:00,2024-10-21 00:00:00,SELL,GODFRYPHLP,SellReason.MARKET_EXIT,,,,,,81.71427950417844,1831.5478115391081,2214.037207020555,180918.4551671282,187.4724071240126,1796588.3897250379,1796588.3897250379,
2024-10-21 00:00:00,2024-10-21 00:00:00,SELL,DEEPAKFERT,SellReason.MARKET_EXIT,,,,,,143.36696079248546,1043.9198053029913,1013.243882128085,145265.69592228293,150.52809102276356,1796588.3897250379,1796588.3897250379,
2024-10-21 00:00:00,2024-10-21 00:00:00,SELL,SUZLON,SellReason.MARKET_EXIT,,,,,,1888.9764414515275,79.2300033569336,72.48999786376953,136931.8982055322,141.89239314992582,1796588.3897250379,1796588.3897250379,
2024-10-21 00:00:00,2024-10-21 00:00:00,SELL,KALYANKJIL,SellReason.MARKET_EXIT,,,,,,208.9200093743628,769.74755859375,722.7849912635171,151004.2471504227,156.4745270076939,1796588.3897250379,1796588.3897250379,
2024-10-21 00:00:00,2024-10-21 00:00:00,SELL,CHOLAHLDNG,SellReason.MARKET_EXIT,,,,,,79.61337229164951,2019.9579860551485,1983.6329326446712,157923.70715661673,163.6446513720723,1796588.3897250379,1796588.3897250379,
2024-10-21 00:00:00,2024-10-21 00:00:00,SELL,ABREL,SellReason.MARKET_EXIT,,,,,,56.477163275246205,2847.4459025774795,3047.2164548358946,172098.14125478372,178.33256851987954,1796588.3897250379,1796588.3897250379,
2024-10-21 00:00:00,2024-10-21 00:00:00,SELL,HERITGFOOD,SellReason.MARKET_EXIT,,,,,,260.3037719890505,617.7999877929688,630.0499877929688,164004.388364165,169.94561133704525,1796588.3897250379,1796588.3897250379,
2025-04-21 00:00:00,2025-04-21 00:00:00,BUY,GODFRYPHLP,NEW_POSITION,,1,0.8418654660448764,,0.1,70.8316047517965,2533.4132074994886,,179658.83897250379,213.11598591899383,1808182.5505615838,0.0,
