date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold
2023-09-21,2023-09-22,NIFTY100,ADANIENSOL,93,LOWER_CIRCUIT_FILTER,2022-09-16,2023-09-21,5,5
2023-09-21,2023-09-22,NIFTY200,ATGL,183,LOWER_CIRCUIT_FILTER,2022-09-16,2023-09-21,7,5
2023-09-21,2023-09-22,NIFTY200,ADANIENSOL,184,LOWER_CIRCUIT_FILTER,2022-09-16,2023-09-21,5,5
2023-09-21,2023-09-22,NIFTY500,ATGL,363,LOWER_CIRCUIT_FILTER,2022-09-16,2023-09-21,7,5
2023-09-21,2023-09-22,NIFTY500,ADANIENSOL,364,LOWER_CIRCUIT_FILTER,2022-09-16,2023-09-21,5,5
2023-10-23,2023-10-25,NIFTY100,ADANIENSOL,91,LOWER_CIRCUIT_FILTER,2022-10-18,2023-10-23,5,5
2023-10-23,2023-10-25,NIFTY200,ATGL,183,LOWER_CIRCUIT_FILTER,2022-10-18,2023-10-23,7,5
2023-10-23,2023-10-25,NIFTY200,ADANIENSOL,184,LOWER_CIRCUIT_FILTER,2022-10-18,2023-10-23,5,5
2023-10-23,2023-10-25,NIFTY500,ATGL,355,LOWER_CIRCUIT_FILTER,2022-10-18,2023-10-23,7,5
2023-10-23,2023-10-25,NIFTY500,ADANIENSOL,356,LOWER_CIRCUIT_FILTER,2022-10-18,2023-10-23,5,5
2023-11-21,2023-11-22,NIFTY100,ADANIENSOL,91,LOWER_CIRCUIT_FILTER,2022-11-16,2023-11-21,5,5
2023-11-21,2023-11-22,NIFTY200,ADANIENSOL,179,LOWER_CIRCUIT_FILTER,2022-11-16,2023-11-21,5,5
2023-11-21,2023-11-22,NIFTY200,ATGL,180,LOWER_CIRCUIT_FILTER,2022-11-16,2023-11-21,7,5
2023-11-21,2023-11-22,NIFTY500,ADANIENSOL,351,LOWER_CIRCUIT_FILTER,2022-11-16,2023-11-21,5,5
2023-11-21,2023-11-22,NIFTY500,ATGL,352,LOWER_CIRCUIT_FILTER,2022-11-16,2023-11-21,7,5
2023-12-21,2023-12-22,NIFTY100,ADANIENSOL,89,LOWER_CIRCUIT_FILTER,2022-12-15,2023-12-21,5,5
2023-12-21,2023-12-22,NIFTY200,ATGL,112,LOWER_CIRCUIT_FILTER,2022-12-15,2023-12-21,7,5
2023-12-21,2023-12-22,NIFTY200,ADANIENSOL,169,LOWER_CIRCUIT_FILTER,2022-12-15,2023-12-21,5,5
2023-12-21,2023-12-22,NIFTY500,ATGL,299,LOWER_CIRCUIT_FILTER,2022-12-15,2023-12-21,7,5
2023-12-21,2023-12-22,NIFTY500,ADANIENSOL,353,LOWER_CIRCUIT_FILTER,2022-12-15,2023-12-21,5,5
2024-01-23,2024-01-24,NIFTY100,ADANIENSOL,73,LOWER_CIRCUIT_FILTER,2023-01-13,2024-01-23,5,5
2024-01-23,2024-01-24,NIFTY200,ATGL,72,LOWER_CIRCUIT_FILTER,2023-01-13,2024-01-23,7,5
2024-01-23,2024-01-24,NIFTY200,ADANIENSOL,123,LOWER_CIRCUIT_FILTER,2023-01-13,2024-01-23,5,5
2024-01-23,2024-01-24,NIFTY500,ATGL,94,LOWER_CIRCUIT_FILTER,2023-01-13,2024-01-23,7,5
2024-01-23,2024-01-24,NIFTY500,ADANIENSOL,185,LOWER_CIRCUIT_FILTER,2023-01-13,2024-01-23,5,5
2024-02-21,2024-02-22,NIFTY100,WSI,44,LOWER_CIRCUIT_FILTER,2023-02-13,2024-02-21,7,5
2024-02-21,2024-02-22,NIFTY100,ADANIENSOL,58,LOWER_CIRCUIT_FILTER,2023-02-13,2024-02-21,5,5
2024-02-21,2024-02-22,NIFTY200,ATGL,49,LOWER_CIRCUIT_FILTER,2023-02-13,2024-02-21,7,5
2024-02-21,2024-02-22,NIFTY200,ADANIENSOL,111,LOWER_CIRCUIT_FILTER,2023-02-13,2024-02-21,5,5
2024-02-21,2024-02-22,NIFTY500,ATGL,65,LOWER_CIRCUIT_FILTER,2023-02-13,2024-02-21,7,5
2024-02-21,2024-02-22,NIFTY500,ONIDA,90,LOWER_CIRCUIT_FILTER,2023-02-13,2024-02-21,9,5
2024-02-21,2024-02-22,NIFTY500,WSI,131,LOWER_CIRCUIT_FILTER,2023-02-13,2024-02-21,7,5
2024-02-21,2024-02-22,NIFTY500,ADANIENSOL,167,LOWER_CIRCUIT_FILTER,2023-02-13,2024-02-21,5,5
2024-04-22,2024-04-23,NIFTY500,SPARC,253,LOWER_CIRCUIT_FILTER,2023-04-12,2024-04-22,7,5
2024-05-21,2024-05-22,NIFTY500,SPARC,360,LOWER_CIRCUIT_FILTER,2023-05-11,2024-05-21,9,5
2024-06-21,2024-06-24,NIFTY500,SCHNEIDER,17,LOWER_CIRCUIT_FILTER,2023-06-12,2024-06-21,5,5
2024-06-21,2024-06-24,NIFTY500,SPARC,367,LOWER_CIRCUIT_FILTER,2023-06-12,2024-06-21,9,5
2024-07-22,2024-07-23,NIFTY500,SCHNEIDER,34,LOWER_CIRCUIT_FILTER,2023-07-11,2024-07-22,5,5
2024-07-22,2024-07-23,NIFTY500,WSI,251,LOWER_CIRCUIT_FILTER,2023-07-11,2024-07-22,7,5
2024-07-22,2024-07-23,NIFTY500,SPARC,377,LOWER_CIRCUIT_FILTER,2023-07-11,2024-07-22,9,5
2024-08-21,2024-08-22,NIFTY500,SCHNEIDER,99,LOWER_CIRCUIT_FILTER,2023-08-09,2024-08-21,5,5
2024-08-21,2024-08-22,NIFTY500,ONIDA,147,LOWER_CIRCUIT_FILTER,2023-08-09,2024-08-21,9,5
2024-08-21,2024-08-22,NIFTY500,OMAXE,151,LOWER_CIRCUIT_FILTER,2023-08-09,2024-08-21,5,5
2024-08-21,2024-08-22,NIFTY500,SPARC,371,LOWER_CIRCUIT_FILTER,2023-08-09,2024-08-21,9,5
2024-09-23,2024-09-24,NIFTY500,SCHNEIDER,180,LOWER_CIRCUIT_FILTER,2023-09-12,2024-09-23,5,5
2024-09-23,2024-09-24,NIFTY500,SPARC,370,LOWER_CIRCUIT_FILTER,2023-09-12,2024-09-23,9,5
2024-10-21,2024-10-22,NIFTY500,NITCO,1,LOWER_CIRCUIT_FILTER,2023-10-11,2024-10-21,11,5
2024-10-21,2024-10-22,NIFTY500,SCHNEIDER,166,LOWER_CIRCUIT_FILTER,2023-10-11,2024-10-21,5,5
2024-10-21,2024-10-22,NIFTY500,SPARC,363,LOWER_CIRCUIT_FILTER,2023-10-11,2024-10-21,9,5
2024-11-21,2024-11-22,NIFTY500,SCHNEIDER,232,LOWER_CIRCUIT_FILTER,2023-11-10,2024-11-21,5,5
2024-11-21,2024-11-22,NIFTY500,SPARC,311,LOWER_CIRCUIT_FILTER,2023-11-10,2024-11-21,9,5
2024-12-23,2024-12-24,NIFTY500,SCHNEIDER,197,LOWER_CIRCUIT_FILTER,2023-12-14,2024-12-23,5,5
2024-12-23,2024-12-24,NIFTY500,SPARC,333,LOWER_CIRCUIT_FILTER,2023-12-14,2024-12-23,9,5
2025-01-21,2025-01-22,NIFTY500,SCHNEIDER,192,LOWER_CIRCUIT_FILTER,2024-01-12,2025-01-21,5,5
2025-01-21,2025-01-22,NIFTY500,SPARC,337,LOWER_CIRCUIT_FILTER,2024-01-12,2025-01-21,9,5
2025-02-21,2025-02-24,NIFTY500,SCHNEIDER,269,LOWER_CIRCUIT_FILTER,2024-02-19,2025-02-21,5,5
2025-02-21,2025-02-24,NIFTY500,SPARC,346,LOWER_CIRCUIT_FILTER,2024-02-19,2025-02-21,9,5
2025-03-21,2025-03-24,NIFTY500,SCHNEIDER,222,LOWER_CIRCUIT_FILTER,2024-03-15,2025-03-21,5,5
2025-03-21,2025-03-24,NIFTY500,SPARC,334,LOWER_CIRCUIT_FILTER,2024-03-15,2025-03-21,9,5
2025-04-21,2025-04-22,NIFTY500,SCHNEIDER,293,LOWER_CIRCUIT_FILTER,2024-04-12,2025-04-21,5,5
2025-04-21,2025-04-22,NIFTY500,SPARC,323,LOWER_CIRCUIT_FILTER,2024-04-12,2025-04-21,9,5
2025-05-21,2025-05-22,NIFTY500,SCHNEIDER,286,LOWER_CIRCUIT_FILTER,2024-05-15,2025-05-21,5,5
2025-06-23,2025-06-24,NIFTY500,OMAXE,183,LOWER_CIRCUIT_FILTER,2024-06-19,2025-06-23,5,5
2025-07-21,2025-07-22,NIFTY500,OMAXE,168,LOWER_CIRCUIT_FILTER,2024-07-18,2025-07-21,5,5
2025-10-21,2025-10-23,NIFTY500,CYBERTECH,339,LOWER_CIRCUIT_FILTER,2024-10-17,2025-10-21,6,5
2025-11-21,2025-11-24,NIFTY500,TAKE,1,LOWER_CIRCUIT_FILTER,2024-11-18,2025-11-21,6,5
2025-12-22,2025-12-23,NIFTY500,TAKE,1,LOWER_CIRCUIT_FILTER,2024-12-18,2025-12-22,6,5
2026-01-21,2026-01-22,NIFTY500,TAKE,1,LOWER_CIRCUIT_FILTER,2025-01-16,2026-01-21,6,5
2026-02-23,2026-02-24,NIFTY500,TAKE,1,LOWER_CIRCUIT_FILTER,2025-02-14,2026-02-23,6,5
