date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold,year,filter_trigger_date,consecutive_lower_circuit_days
2021-08-23,2021-08-24,NIFTY500,HEIDELBERG,158,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,HINDCOPPER,159,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,SPARC,160,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,BLUEDART,162,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,TTKPRESTIG,163,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,VMART,166,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,TATAINVEST,167,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,RAIN,169,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,GNFC,173,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,INDIAGLYCO,174,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ESABINDIA,177,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,GODFRYPHLP,178,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,TIMKEN,179,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,GUJALKALI,182,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,CESC,184,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,NAVA,185,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,NATIONALUM,186,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,GODREJAGRO,187,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ARVIND,189,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,PRESTIGE,192,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,BLUESTARCO,196,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,SUNDRMFAST,197,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,GRAPHITE,199,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ELGIEQUIP,200,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
