symbol,total_invested_amount,closed_invested_amount,open_invested_amount,realized_pnl,unrealized_pnl,total_pnl,total_return_pct,closed_trades,winning_trades,losing_trades,total_transaction_cost,open_market_value
ABBOTINDIA,3873309.7076060064,3873309.7076060064,0.0,-23861.88601901698,0.0,-23861.88601901698,-0.006160593347895591,7,2,5,3993.035605685336,0.0
ADANIPORTS,663588.3388995725,663588.3388995725,0.0,-28752.358537655342,0.0,-28752.358537655342,-0.0433286072888733,1,0,1,658.5159199041266,0.0
IOC,383924.01820672076,383924.01820672076,0.0,-30250.809338141808,0.0,-30250.809338141808,-0.07879374017661356,1,0,1,366.8655301338806,0.0
ACCELYA,359976.95863955584,359976.95863955584,0.0,-32550.07474010626,0.0,-32550.07474010626,-0.09042266167012812,1,0,1,339.64019419546145,0.0
HEROMOTOCO,1426677.6148640045,1426677.6148640045,0.0,-33059.255392201245,0.0,-33059.255392201245,-0.02317219745215709,2,0,2,1445.601548071781,0.0
TRENT,971203.985540612,971203.985540612,0.0,-36768.99589096935,0.0,-36768.99589096935,-0.03785918966395326,1,0,1,969.2902353280838,0.0
AARTIIND,1617580.6464091374,1617580.6464091374,0.0,-37479.92482673062,0.0,-37479.92482673062,-0.023170359332582394,4,1,3,1639.0398660466851,0.0
KOTAKBANK,2170236.445599053,2170236.445599053,0.0,-40479.38092029795,0.0,-40479.38092029795,-0.018652060240894337,4,1,3,2209.198873415612,0.0
ONGC,1103443.0253698886,1103443.0253698886,0.0,-41505.19603103139,0.0,-41505.19603103139,-0.037614262881509715,2,0,2,1101.5490429030178,0.0
WIPRO,936695.3146681606,936695.3146681606,0.0,-43870.061821774965,0.0,-43870.061821774965,-0.046834932485294474,2,0,2,926.1284188029014,0.0
ABREL,5031073.89503835,5031073.89503835,0.0,-49774.91204341968,0.0,-49774.91204341968,-0.009893496514234814,7,3,4,5167.10580933729,0.0
LT,2992201.65765288,2992201.65765288,0.0,-64782.45338704823,0.0,-64782.45338704823,-0.02165043028479049,4,1,3,3036.6145112681193,0.0
DRREDDY,2574628.827973627,2574628.827973627,0.0,-75381.29586558061,0.0,-75381.29586558061,-0.029278509992024675,5,0,5,2592.471659744283,0.0
BAJAJFINSV,3245166.2742740624,3245166.2742740624,0.0,-95624.25738849501,0.0,-95624.25738849501,-0.029466674218376062,4,1,3,3267.022699853442,0.0
MARUTI,4100152.3501943294,4100152.3501943294,0.0,-95940.57805184984,0.0,-95940.57805184984,-0.023399271504460722,6,2,4,4153.572387500924,0.0
TITAN,2351535.632354565,2351535.632354565,0.0,-114563.54501265449,0.0,-114563.54501265449,-0.04871860899591956,5,1,4,2320.413110573876,0.0
BAJFINANCE,5668327.710543198,5668327.710543198,0.0,-119536.76391395193,0.0,-119536.76391395193,-0.021088541456700055,11,4,7,5755.76572155242,0.0
BPCL,4095376.3245010143,4095376.3245010143,0.0,-148736.99490492578,0.0,-148736.99490492578,-0.036318272881320154,5,1,4,4093.852442290902,0.0
INDUSTOWER,2193677.6372758616,2193677.6372758616,0.0,-165362.16961632977,0.0,-165362.16961632977,-0.07538125329192795,2,0,2,2103.9734157476723,0.0
ADANIENT,815670.7562355114,815670.7562355114,0.0,-235651.23090443367,0.0,-235651.23090443367,-0.28890484193893706,1,0,1,601.6547629641286,0.0
