symbol,entry_date,entry_rank,exit_date,exit_rank,holding_days,quantity,entry_price,exit_price,cost_value,proceeds,gross_realized_pnl,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,total_transaction_cost,net_realized_pnl,return_pct,sell_reason
TRENT,2024-05-22 00:00:00,2,2024-10-28 00:00:00,,159,154.0756642198606,4670.697201376995,7347.145226278034,720495.4441006782,1132016.2808585663,411520.8367578881,0.0,1132.0162808585662,33.62088354149942,1.1320162808585663,6.2555219680244365,0.0,1173.0247026489485,410347.81205523916,0.5711636903846742,SellReason.MARKET_EXIT
OFSS,2024-07-23 00:00:00,1,2024-10-28 00:00:00,,97,65.88426790538561,10064.109731263205,10081.964377327646,663853.9826181285,664242.8420484088,388.85943028028123,0.0,664.2428420484089,19.728012408837742,0.6642428420484088,3.670605945159507,0.0,688.3057032444545,-299.4462729641733,0.0005857604841755788,SellReason.MARKET_EXIT
BASF,2024-08-22 00:00:00,3,2024-10-28 00:00:00,,67,70.04983768947257,6540.0,6978.2001953125,458670.0247979866,488821.7910462864,30151.7662482998,0.0,488.8217910462864,14.518007194074707,0.48882179104628637,2.701229217321779,0.0,506.5298492487292,29645.236399051068,0.06573738116324394,SellReason.MARKET_EXIT
GOLDBEES,2024-10-28 00:00:00,0,2025-04-01 00:00:00,,155,34597.9542842336,65.9000015258789,75.83999633789062,2282713.0536981192,2623908.7262147837,341195.6725166645,0.0,2623.9087262147837,77.93008916857907,2.6239087262147835,14.499719621062892,0.0,2718.96244373064,338476.71007293387,0.14946936583374285,SellReason.MARKET_EXIT
SBICARD,2025-04-01 00:00:00,3,2025-07-03 00:00:00,12,93,994.0418180126925,877.9243129349932,909.8624649574467,873729.9212570176,904441.3388078101,30711.417550792452,0.0,904.4413388078101,26.86190776259196,0.9044413388078101,4.997942838251959,0.0,937.2056307474618,29774.21192004499,0.03514978347841007,SellReason.RANK_EXIT
BAJFINANCE,2025-04-01 00:00:00,2,2025-07-15 00:00:00,10,105,1005.8590306188441,867.6101258150749,913.3852504906677,873729.9212570176,918736.8026400931,45006.881383075495,0.0,918.7368026400932,27.286483038410765,0.918736802640093,5.076939571389154,0.0,952.0189620525332,44054.86242102296,0.0515112053371424,SellReason.RANK_EXIT
NH,2025-04-01 00:00:00,1,2025-08-04 00:00:00,,125,516.4263704994507,1689.8700956410062,1915.5,873729.9212570176,989214.7126916979,115484.79143468023,0.0,989.2147126916979,29.37967696694343,0.9892147126916978,5.466400502334323,0.0,1025.0500048736674,114459.74142980656,0.13217447248290934,SellReason.MARKET_EXIT
BEL,2025-07-22 00:00:00,1,2025-08-04 00:00:00,,13,2271.849792600364,400.36283703999635,376.5199036034637,910644.4584275517,855396.664911438,-55247.793516113656,0.0,855.396664911438,25.40528094786971,0.855396664911438,4.726921970300606,0.0,886.3842644945198,-56134.17778060817,-0.06066889553307375,SellReason.MARKET_EXIT
HDFCAMC,2025-07-22 00:00:00,3,2025-08-04 00:00:00,,13,329.01179443706815,2764.5338060006425,2747.1636700713225,910644.4584275517,903849.2487024877,-6795.209725063993,0.0,903.8492487024877,26.844322686463883,0.9038492487024876,4.994670948329947,0.0,936.592091585984,-7731.801816649977,-0.007461978889980365,SellReason.MARKET_EXIT
GOLDBEES,2025-08-04 00:00:00,0,2025-10-20 00:00:00,,77,32650.97931471252,83.98999786376953,106.9000015258789,2745612.5999446698,3490389.738564209,744777.1386195393,0.0,3490.389738564209,103.664575235357,3.490389738564209,19.28789369530582,0.0,3616.832597233436,741160.3060223059,0.27126082486456693,SellReason.MARKET_EXIT
MARUTI,2025-10-20 00:00:00,3,2025-11-06 00:00:00,16,17,70.35629909676408,16500.0,15534.0,1162257.6353223252,1092914.750169133,-69342.8851531921,0.0,1092.9147501691332,32.45956808002325,1.092914750169133,6.03944690943463,0.0,1132.5066799087601,-70475.39183310086,-0.059662232405091026,SellReason.RANK_EXIT
PAYTM,2025-10-20 00:00:00,2,2026-01-22 00:00:00,12,94,902.0739086745812,1286.9000244140625,1246.5,1162257.6353223252,1124435.1271628654,-37822.5081594598,0.0,1124.4351271628655,33.3957232767371,1.1244351271628654,6.213628512701995,0.0,1165.1689140794672,-38987.67707353927,-0.032542275490382654,SellReason.RANK_EXIT
MUTHOOTFIN,2025-10-20 00:00:00,1,2026-01-27 00:00:00,,99,351.26460993633674,3304.855946936998,3796.895453280028,1162257.6353223252,1333715.0003654596,171457.36504313443,0.0,1333.7150003654597,39.61133551085415,1.3337150003654594,7.370109092019529,0.0,1382.0301599686986,170075.33488316572,0.1475209625063764,SellReason.MARKET_EXIT
CANBK,2025-11-24 00:00:00,2,2026-01-27 00:00:00,,64,7715.47862156455,141.3375885661555,148.0172423317335,1091782.2434892242,1142023.8688334292,50241.62534420495,0.0,1142.023868833429,33.91810890435285,1.1420238688334292,6.3108238991735295,0.0,1183.394825505789,49058.23051869916,0.046017990898659294,SellReason.MARKET_EXIT
HINDZINC,2026-01-22 00:00:00,1,2026-01-27 00:00:00,,5,1646.1619011194662,681.547486584596,719.8477125036038,1123269.958248786,1184985.8789314313,61715.9206826454,0.0,1184.9858789314314,35.19408060426351,1.1849858789314314,6.548231966975089,0.0,1227.9131773816014,60488.0075052638,0.05494308846188899,SellReason.MARKET_EXIT
GOLDBEES,2026-01-27 00:00:00,0,2026-04-20 00:00:00,,83,27978.501550862762,130.5500030517578,125.18000030517578,3656931.4099674644,3502348.8326753615,-154582.57729210285,0.0,3502.348832675362,104.01976033045824,3.5023488326753616,19.35397964936405,0.0,3629.22492148786,-158211.8022135907,-0.04227111749232348,SellReason.MARKET_EXIT
SHRIRAMFIN,2026-04-20 00:00:00,1,2026-04-29 00:00:00,11,9,1126.3900190189959,1034.1501837974863,959.5720161918424,1166239.8692512913,1080852.3415684255,-85387.52768286574,0.0,1080.8523415684256,32.10131454458224,1.0808523415684255,5.972790039507119,0.0,1120.0072984940834,-86507.53498135981,-0.07321609381926145,SellReason.RANK_EXIT
ABB,2026-04-20 00:00:00,2,2026-05-12 00:00:00,17,22,165.79780143957362,7025.765330312238,6360.0,1166239.8692512913,1054474.0171556883,-111765.85209560301,0.0,1054.4740171556882,31.31787830952394,1.0544740171556881,5.827023418802334,0.0,1092.67339290117,-112858.52548850418,-0.0958343605311273,SellReason.RANK_EXIT
